                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2012,                 3.3297,                 1.9166,                0.00626,                0.26667,                  0.095,                0.03537,                 2.3123,                 3.4264,                 1.9731,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.0914,                 3.2902,                 1.8401,                 0.0063,                0.26667,                0.06441,                0.03368,                 2.2889,                 3.4317,                 1.8576,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 1.9522,                 3.2632,                 1.8138,                0.00819,                    0.6,                0.06052,                0.03434,                 2.0049,                 3.4016,                 1.6807,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                 2.1517,                 3.3394,                 1.8995,                0.00829,                    0.6,                 0.0688,                0.04247,                 2.0902,                 3.4404,                 1.6664,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 1.6674,                 3.1753,                 1.6086,                 0.0089,                    0.6,                0.14248,                0.10191,                 1.8818,                 3.3692,                 1.4958,             0.00012352,             0.00012352,             0.00012352
                      6,                 1.4239,                 3.0677,                 1.4596,                0.01023,                    0.6,                0.29876,                0.24949,                 1.4036,                  3.198,                 1.2597,             0.00014941,             0.00014941,             0.00014941
                      7,                 1.3807,                 2.9477,                 1.3705,                0.01281,                0.66667,                0.36127,                0.27272,                 1.2548,                 3.1075,                 1.1796,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.2847,                 2.7168,                 1.3115,                0.01155,                0.66667,                 0.5561,                0.41252,                  1.196,                 3.0848,                 1.1746,              0.0001995,              0.0001995,              0.0001995
                      9,                  1.178,                 2.3422,                 1.3152,                0.01165,                0.66667,                 0.5743,                  0.383,                 1.1768,                  3.083,                 1.1794,             0.00022369,             0.00022369,             0.00022369
                     10,                  1.197,                 2.3012,                 1.2265,                0.01102,                0.66667,                0.57424,                0.42212,                 1.1311,                 3.0482,                 1.1742,             0.00024732,             0.00024732,             0.00024732
                     11,                 1.1918,                 2.1789,                 1.2689,                0.01127,                0.66667,                 0.5375,                0.35796,                 1.1498,                 3.0701,                 1.2246,             0.00027038,             0.00027038,             0.00027038
                     12,                 1.1328,                 2.0341,                 1.2333,                0.01042,                    0.6,                0.54585,                 0.3314,                 1.3153,                 3.1638,                 1.3143,             0.00029288,             0.00029288,             0.00029288
